,Title,Location,Company,Salary,Sponsored
0,Ionic 4/ Angular developer 6,"Kolkata, West Bengal",PatientMD,,sponsored
1,Senior Product Owner,India,Société Générale,,
2,Engineer - Network,"Chennai, Tamil Nadu",AstraZeneca,,
3,Senior Data Engineer,"Chennai, Tamil Nadu",Tango IT,"₹4,00,000 - ₹8,00,000 a year",
4,IS Auditor,"Bengaluru, Karnataka",Société Générale,,
5,Frontend Software Developer,"Gurgaon, Haryana",Cron Systems,,
6,Computer Vision Engineer,"Bengaluru, Karnataka",Intel,,
7,Network Software Test Engineer,"Bengaluru, Karnataka",Intel,,
8,Lead Computervison Specialist,"Chennai, Tamil Nadu",Marketsof1,"₹30,000 - ₹80,000 a month",
9,"Software Engineering Manager, Google Home and Nest","Bengaluru, Karnataka",Google,,
10,Product Manager/Strategy 3-ProdDev,"Hyderabad, Telangana",Oracle,,
